Station_ID	Station_Name	Latitude	Longitude	Elevation_ft	Elevation_m	River_Basin	Record_Type	Month	Insolation_MJperM2	Avg_SWE_Inches	SWE_Inches_SD	SWE_Inches_n	Avg_diff_inches	Avg_diff_SD	Avg_diff_n
EML	Emerald Lake	37.183	-118.762	10600	3230	San Joaquin	MONTHLY	February	269.75	15.758313636279		15			
EML	Emerald Lake	37.183	-118.762	10600	3230	San Joaquin	MONTHLY	March	473.64	20.3429078845883		12			
EML	Emerald Lake	37.183	-118.762	10600	3230	San Joaquin	MONTHLY	April	637.66	31.0421308776526		52			
EML	Emerald Lake	37.183	-118.762	10600	3230	San Joaquin	MONTHLY	May	799.26	25.1937814952442		6			
EML	Emerald Lake	37.183	-118.762	10600	3230	San Joaquin	MONTHLY	June	826.11			0			
EML	Emerald Lake	37.183	-118.762	10600	3230	San Joaquin	MONTHLY	July	826.41			0			
EML	Emerald Lake	37.183	-118.762	10600	3230	San Joaquin	MONTHLY	August	709.34			0			
EML	Emerald Lake	37.183	-118.762	10600	3230	San Joaquin	MONTHLY	September	528.06			0			
EML	Emerald Lake	37.183	-118.762	10600	3230	San Joaquin	MONTHLY	October	332.43			0			
EML	Emerald Lake	37.183	-118.762	10600	3230	San Joaquin	MONTHLY	November	205.36			0			
EML	Emerald Lake	37.183	-118.762	10600	3230	San Joaquin	MONTHLY	December	162.27			0			
GFL	Gin Flat	37.765	-119.773	7000	2130	Merced	MONTHLY	January	203.72	3.15170571357994		1			
GFL	Gin Flat	37.765	-119.773	7000	2130	Merced	MONTHLY	February	280.68	22.9161270186452		75			
GFL	Gin Flat	37.765	-119.773	7000	2130	Merced	MONTHLY	March	476.38	29.8577571377474		75			
GFL	Gin Flat	37.765	-119.773	7000	2130	Merced	MONTHLY	April	621.73	29.6308554334339		77			
GFL	Gin Flat	37.765	-119.773	7000	2130	Merced	MONTHLY	May	761.04	12.5519009563053		70			
GFL	Gin Flat	37.765	-119.773	7000	2130	Merced	MONTHLY	June	778.75	0		1			
GFL	Gin Flat	37.765	-119.773	7000	2130	Merced	MONTHLY	July	782.94			0			
GFL	Gin Flat	37.765	-119.773	7000	2130	Merced	MONTHLY	August	685.89			0			
GFL	Gin Flat	37.765	-119.773	7000	2130	Merced	MONTHLY	September	526.19			0			
GFL	Gin Flat	37.765	-119.773	7000	2130	Merced	MONTHLY	October	342.67			0			
GFL	Gin Flat	37.765	-119.773	7000	2130	Merced	MONTHLY	November	217.39			0			
GFL	Gin Flat	37.765	-119.773	7000	2130	Merced	MONTHLY	December	173.74			0			
GRM	Green Mountain	37.555	-119.238	7900	2410	San Joaquin	ONLY_DAILY	January	239.55	12.8524497998837	8.12270128589106	41			
GRM	Green Mountain	37.555	-119.238	7900	2410	San Joaquin	ONLY_DAILY	February	318.92	19.8940809729064	11.8119542920679	40			
GRM	Green Mountain	37.555	-119.238	7900	2410	San Joaquin	ONLY_DAILY	March	520.12	26.892179613781	14.7384936796829	42			
GRM	Green Mountain	37.555	-119.238	7900	2410	San Joaquin	ONLY_DAILY	April	656.13	23.4321885198135	17.8402260981524	44			
GRM	Green Mountain	37.555	-119.238	7900	2410	San Joaquin	ONLY_DAILY	May	784.06	10.20107771261	14.805939914038	44			
GRM	Green Mountain	37.555	-119.238	7900	2410	San Joaquin	ONLY_DAILY	June	794.85	1.15215151515152	3.91181808181202	44			
GRM	Green Mountain	37.555	-119.238	7900	2410	San Joaquin	ONLY_DAILY	July	802.87	0.00109970674486804	0.00729462930430073	44			
GRM	Green Mountain	37.555	-119.238	7900	2410	San Joaquin	ONLY_DAILY	August	717.57	0.00231671554252199	0.0114722820406388	44			
GRM	Green Mountain	37.555	-119.238	7900	2410	San Joaquin	ONLY_DAILY	September	568.5	0.00564148148148148	0.0378442082591964	45			
GRM	Green Mountain	37.555	-119.238	7900	2410	San Joaquin	ONLY_DAILY	October	384.92	0.124852033660589	0.381019381480163	46			
GRM	Green Mountain	37.555	-119.238	7900	2410	San Joaquin	ONLY_DAILY	November	253.71	1.23003260869565	1.57725208128739	46			
GRM	Green Mountain	37.555	-119.238	7900	2410	San Joaquin	ONLY_DAILY	December	206.77	5.59849864703695	4.18941143121175	44			
GRV	Graveyard Meadow	37.465	-119.29	6900	2100	San Joaquin	ONLY_DAILY	January	258.81	9.09871116054876	6.30595820000996	30			
GRV	Graveyard Meadow	37.465	-119.29	6900	2100	San Joaquin	ONLY_DAILY	February	337.57	14.3032112068966	9.71804585431763	32			
GRV	Graveyard Meadow	37.465	-119.29	6900	2100	San Joaquin	ONLY_DAILY	March	534.37	17.4061787967653	12.5722304392053	33			
GRV	Graveyard Meadow	37.465	-119.29	6900	2100	San Joaquin	ONLY_DAILY	April	653.78	12.8937575757576	14.8088787179799	33			
GRV	Graveyard Meadow	37.465	-119.29	6900	2100	San Joaquin	ONLY_DAILY	May	762.12	5.13144212523719	10.5421684059271	34			
GRV	Graveyard Meadow	37.465	-119.29	6900	2100	San Joaquin	ONLY_DAILY	June	764.63	0.450959595959596	1.43819649251911	33			
GRV	Graveyard Meadow	37.465	-119.29	6900	2100	San Joaquin	ONLY_DAILY	July	776.47	0	0	35			
GRV	Graveyard Meadow	37.465	-119.29	6900	2100	San Joaquin	ONLY_DAILY	August	708.91	0.000774193548387097	0.00348766396937457	35			
GRV	Graveyard Meadow	37.465	-119.29	6900	2100	San Joaquin	ONLY_DAILY	September	578.91	0	0	35			
GRV	Graveyard Meadow	37.465	-119.29	6900	2100	San Joaquin	ONLY_DAILY	October	404.23	0.0731705069124424	0.219810171538973	35			
GRV	Graveyard Meadow	37.465	-119.29	6900	2100	San Joaquin	ONLY_DAILY	November	272.97	0.663407407407408	1.03561109054712	36			
